target_brand,observed_name,canonical_candidate,category,gam_listing_page,listing_position,disposition,notes
EP,EFS101,EFS101,,https://online.gamrentals.com/cl/826-ep,1,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,EFS151,EFS151,,https://online.gamrentals.com/cl/826-ep,2,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,CPD20,CPD20,,https://online.gamrentals.com/cl/826-ep,3,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,EFL203,EFL203,,https://online.gamrentals.com/cl/826-ep,4,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,TDL201,TDL201,,https://online.gamrentals.com/cl/826-ep,5,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,EFL252,EFL252,,https://online.gamrentals.com/cl/826-ep,6,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,EFL253,EFL253,,https://online.gamrentals.com/cl/826-ep,7,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,EFX2,EFX2,,https://online.gamrentals.com/cl/826-ep,8,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,SERIE X3,SERIE X3,,https://online.gamrentals.com/cl/826-ep,9,REVIEW,Posible familia; no convertir automáticamente en modelo
EP,EFL353,EFL353,,https://online.gamrentals.com/cl/826-ep,10,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,EFL303,EFL303,,https://online.gamrentals.com/cl/826-ep,11,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,EFL352,EFL352,,https://online.gamrentals.com/cl/826-ep,12,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,SERIE X5,SERIE X5,,https://online.gamrentals.com/cl/826-ep?page=2,13,REVIEW,Posible familia; no convertir automáticamente en modelo
EP,EFL703-HV-6,EFL703-HV-6,,https://online.gamrentals.com/cl/826-ep?page=2,14,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,CQD15SD,CQD15SD,,https://online.gamrentals.com/cl/826-ep?page=2,15,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,CQD25,CQD25,,https://online.gamrentals.com/cl/826-ep?page=2,16,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,EFL1003-HV-6,EFL1003-HV-6,,https://online.gamrentals.com/cl/826-ep?page=2,17,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,EFL181,EFL181,,https://online.gamrentals.com/cl/826-ep?page=2,18,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,EFL201,EFL201,,https://online.gamrentals.com/cl/826-ep?page=2,19,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,SERIE X2,SERIE X2,,https://online.gamrentals.com/cl/826-ep?page=2,20,REVIEW,Posible familia; no convertir automáticamente en modelo
EP,EFL302,EFL302,,https://online.gamrentals.com/cl/826-ep?page=2,21,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,EPT20-30RT,EPT20-30RT,,https://online.gamrentals.com/cl/826-ep?page=2,22,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,EPL153,EPL153,,https://online.gamrentals.com/cl/826-ep?page=2,23,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,SERIE F,SERIE F,,https://online.gamrentals.com/cl/826-ep?page=2,24,REVIEW,Posible familia; no convertir automáticamente en modelo
EP,EPT20,EPT20,,https://online.gamrentals.com/cl/826-ep?page=3,25,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,EPT20-ET,EPT20-ET,,https://online.gamrentals.com/cl/826-ep?page=3,26,OBSERVED,EPT20 ET descrito en la página como EPT20-ET
EP,WPL202,WPL202,,https://online.gamrentals.com/cl/826-ep?page=3,27,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,RPL201H,RPL201H,,https://online.gamrentals.com/cl/826-ep?page=3,28,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,CBY 30II,CBY 30II,,https://online.gamrentals.com/cl/826-ep?page=3,29,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,EPT20-30RTS,EPT20-30RTS,,https://online.gamrentals.com/cl/826-ep?page=3,30,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,EPT20-35RTS,EPT20-35RTS,,https://online.gamrentals.com/cl/826-ep?page=3,31,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,EPT20-35RT,EPT20-35RT,,https://online.gamrentals.com/cl/826-ep?page=3,32,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,RSC082,RSC082,,https://online.gamrentals.com/cl/826-ep?page=3,33,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,SYG-1016,SYG-1016,,https://online.gamrentals.com/cl/826-ep?page=3,34,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,RSC122,RSC122,,https://online.gamrentals.com/cl/826-ep?page=3,35,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,RSC152,RSC152,,https://online.gamrentals.com/cl/826-ep?page=3,36,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,ESi161,ESi161,,https://online.gamrentals.com/cl/826-ep?page=4,37,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,WSA161,WSA161,,https://online.gamrentals.com/cl/826-ep?page=4,38,OBSERVED,Observación externa proporcionada al Prompt 317A
EP,KSi201,KSi201,,https://online.gamrentals.com/cl/826-ep?page=4,39,OBSERVED,Observación externa proporcionada al Prompt 317A
