target_brand,model,category,asset_type,asset_role,source_name,source_role,page_url,asset_url,expected_mime,expected_extension,language,priority,model_evidence,confidence,disposition,http_status,observed_mime,validation_status,notes
EP,EFS101,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep,,,,es,100,EFS101,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,EFS151,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep,,,,es,100,EFS151,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,CPD20,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep,,,,es,100,CPD20,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,EFL203,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep,,,,es,100,EFL203,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,TDL201,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep,,,,es,100,TDL201,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,EFL252,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep,,,,es,100,EFL252,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,EFL253,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep,,,,es,100,EFL253,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,EFX2,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep,,,,es,100,EFX2,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,SERIE X3,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep,,,,es,100,SERIE X3,REVIEW,REVIEW,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,EFL353,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep,,,,es,100,EFL353,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,EFL303,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep,,,,es,100,EFL303,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,EFL352,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep,,,,es,100,EFL352,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,SERIE X5,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep?page=2,,,,es,100,SERIE X5,REVIEW,REVIEW,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,EFL703-HV-6,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep?page=2,,,,es,100,EFL703-HV-6,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,CQD15SD,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep?page=2,,,,es,100,CQD15SD,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,CQD25,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep?page=2,,,,es,100,CQD25,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,EFL1003-HV-6,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep?page=2,,,,es,100,EFL1003-HV-6,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,EFL181,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep?page=2,,,,es,100,EFL181,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,EFL201,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep?page=2,,,,es,100,EFL201,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,SERIE X2,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep?page=2,,,,es,100,SERIE X2,REVIEW,REVIEW,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
