target_brand,model,category,official_model_name,ep_listing_url,ep_product_url,gam_product_url,ep_image_candidates,ep_pdf_candidates,missing_image,missing_pdf,gam_fallback_needed,confidence,status,notes
EP,EFS101,,,https://ep-equipment.com/es/productos/,,,,,,,,PENDING_LOCAL_HARVEST,PENDING_LOCAL_HARVEST,Observación externa proporcionada al Prompt 317A
EP,EFS151,,,https://ep-equipment.com/es/productos/,,,,,,,,PENDING_LOCAL_HARVEST,PENDING_LOCAL_HARVEST,Observación externa proporcionada al Prompt 317A
EP,CPD20,,,https://ep-equipment.com/es/productos/,,,,,,,,PENDING_LOCAL_HARVEST,PENDING_LOCAL_HARVEST,Observación externa proporcionada al Prompt 317A
EP,EFL203,,,https://ep-equipment.com/es/productos/,,,,,,,,PENDING_LOCAL_HARVEST,PENDING_LOCAL_HARVEST,Observación externa proporcionada al Prompt 317A
EP,TDL201,,,https://ep-equipment.com/es/productos/,,,,,,,,PENDING_LOCAL_HARVEST,PENDING_LOCAL_HARVEST,Observación externa proporcionada al Prompt 317A
EP,EFL252,,,https://ep-equipment.com/es/productos/,,,,,,,,PENDING_LOCAL_HARVEST,PENDING_LOCAL_HARVEST,Observación externa proporcionada al Prompt 317A
EP,EFL253,,,https://ep-equipment.com/es/productos/,,,,,,,,PENDING_LOCAL_HARVEST,PENDING_LOCAL_HARVEST,Observación externa proporcionada al Prompt 317A
EP,EFX2,,,https://ep-equipment.com/es/productos/,,,,,,,,PENDING_LOCAL_HARVEST,PENDING_LOCAL_HARVEST,Observación externa proporcionada al Prompt 317A
EP,SERIE X3,,,https://ep-equipment.com/es/productos/,,,,,,,,REVIEW,FAMILY_REVIEW,Posible familia; no convertir automáticamente en modelo
EP,EFL353,,,https://ep-equipment.com/es/productos/,,,,,,,,PENDING_LOCAL_HARVEST,PENDING_LOCAL_HARVEST,Observación externa proporcionada al Prompt 317A
EP,EFL303,,,https://ep-equipment.com/es/productos/,,,,,,,,PENDING_LOCAL_HARVEST,PENDING_LOCAL_HARVEST,Observación externa proporcionada al Prompt 317A
EP,EFL352,,,https://ep-equipment.com/es/productos/,,,,,,,,PENDING_LOCAL_HARVEST,PENDING_LOCAL_HARVEST,Observación externa proporcionada al Prompt 317A
EP,SERIE X5,,,https://ep-equipment.com/es/productos/,,,,,,,,REVIEW,FAMILY_REVIEW,Posible familia; no convertir automáticamente en modelo
EP,EFL703-HV-6,,,https://ep-equipment.com/es/productos/,,,,,,,,PENDING_LOCAL_HARVEST,PENDING_LOCAL_HARVEST,Observación externa proporcionada al Prompt 317A
EP,CQD15SD,,,https://ep-equipment.com/es/productos/,,,,,,,,PENDING_LOCAL_HARVEST,PENDING_LOCAL_HARVEST,Observación externa proporcionada al Prompt 317A
